customer_id,first_name,last_name,email,phone_number,address,date_of_birth,account_open_date,account_status
83,Jeffery,Snow,davismichael@hotmail.com,647-041-0633x30726,"4521 Amber Neck Apt. 369, Ericfurt, MN 60748",1955-07-10,2020-11-09,Active
84,Sarah,Thornton,harold87@hotmail.com,377-955-0326,"0039 Omar Oval Suite 608, Ronaldport, NE 70598",2000-04-13,2021-02-02,Active
85,Elizabeth,Flores,millernathan@glass.com,+1-665-745-8111x766,"975 Anderson Falls, Andersonhaven, TX 67114",2000-03-06,2024-05-06,Active
86,Christopher,Watson,rsanford@gmail.com,001-266-959-9475x96271,"0488 Bass Crossing, Gregoryside, WI 54335",1989-04-14,2021-10-02,Active
87,Anthony,Holmes,mistyhill@hotmail.com,769.599.0421,"0373 Brown Extensions, Lake Austin, MS 03001",1966-09-22,2022-06-21,Inactive
88,Donna,Gaines,louis60@jacobs.com,6417842372,"768 Kristin Glen, Port Michael, CA 26101",1954-12-19,2019-02-20,Active
89,Erica,Snyder,htorres@gmail.com,001-564-485-6440x19075,"3858 Amanda Stravenue Suite 039, Moraville, SD 84684",1958-07-01,2024-08-23,Inactive
90,Andrew,Wright,kathryn62@hotmail.com,(337)710-5360x70600,"2049 Medina Streets Apt. 394, Patrickport, MS 66631",1998-09-14,2020-12-07,Active
91,Justin,Price,ymoore@yahoo.com,705.126.3921x649,"668 Myers Coves Suite 476, North Matthewfort, MO 87116",1952-05-22,2018-11-19,Active
92,Edward,Sampson,jason20@hotmail.com,001-575-672-8756x3515,"064 Derek Trace Apt. 863, New Katherinehaven, NH 29411",1947-05-11,2018-11-03,Inactive
93,Lisa,Carr,brenda42@gmail.com,(485)707-2666,"USNS Perry, FPO AE 36379",1974-01-13,2021-05-03,Inactive
94,Jody,Forbes,etaylor@yahoo.com,(371)228-5675x796,"86744 Hart Harbor, North Rachelview, TX 33960",1993-07-24,2016-05-05,Active
95,Kristin,Martinez,ashley19@hall-baker.info,003-162-8077x13520,"528 Ware Islands, Johnsonhaven, NH 65217",2004-03-21,2024-09-09,Inactive
96,Joshua,Nelson,jackpotter@woods.com,298.193.8792x265,"4871 Cuevas Square Suite 882, North Kimfurt, MS 13514",1989-01-28,2023-03-17,Active
97,Emily,Jones,randy48@hotmail.com,244-842-4200,"508 Travis Lights Apt. 119, North Phillipbury, WI 40563",1960-01-24,2021-07-07,Active
98,Timothy,Mckenzie,piercedavid@gmail.com,081-888-7270x81579,"638 Sara Ridges Apt. 844, West Markshire, IL 67447",2003-02-02,2019-06-01,Active
99,Susan,Martin,darlene25@gmail.com,363-895-7333x77314,"597 Renee Valleys, New Brookefurt, AZ 93732",1995-12-27,2019-04-26,Active
100,Jane,Riley,owenslaura@sanchez-owens.com,978-447-2607x9632,"649 Johnson Falls Suite 900, Charlesbury, AK 36354",1991-07-15,2020-05-14,Active
