card_id,customer_id,card_number,card_type,credit_limit,expiration_date,cvv,card_status
35,1,676141303195,Discover,15434,2025-10-07,768,Expired
36,27,376821128182065,MasterCard,2060,2027-10-29,426,Active
37,62,4718256141201015,Discover,19711,2028-12-25,209,Active
38,77,4908235656949,Visa,4420,2026-03-08,941,Active
39,3,4706883374066,Discover,1301,2029-05-07,538,Blocked
40,70,060451209179,Discover,13468,2026-04-25,411,Active
41,72,3556284949153326,Visa,17990,2029-01-13,942,Active
42,27,3590542796804640,MasterCard,1699,2029-09-07,978,Active
43,9,3572612687329957,Visa,1190,2028-09-15,818,Active
44,62,4183474095397190304,Discover,11492,2025-07-07,887,Expired
45,37,213100416691781,MasterCard,18364,2025-05-15,413,Blocked
46,97,4573493855178602150,Discover,3975,2029-03-23,396,Active
47,51,213121908174839,Visa,7102,2027-06-24,674,Active
48,44,340199378502008,Visa,18568,2025-05-23,774,Expired
49,24,379014899413896,Discover,2816,2027-06-05,522,Active
50,79,2663445572361955,Amex,1569,2025-08-19,949,Active
51,59,349124485646622,Amex,6442,2029-04-19,713,Active
52,32,4994916405301505024,Visa,2895,2026-08-28,714,Active
53,96,213182913288428,Visa,4863,2029-12-02,224,Expired
54,88,6545752869038385,Amex,13913,2029-11-20,438,Expired
55,52,4947354933052895,Amex,8455,2029-05-30,964,Blocked
56,62,6011950836869396,Discover,5014,2027-01-03,673,Active
57,58,30418666042484,Discover,12093,2026-10-22,513,Blocked
58,52,36056046763504,Amex,19070,2026-03-23,189,Active
59,12,3595243097344064,Discover,4009,2026-09-06,672,Active
60,39,6011283775876200,Discover,17538,2027-07-26,259,Active
61,2,4397169070162,MasterCard,11729,2029-12-25,694,Blocked
62,3,582420169242,Discover,2409,2027-04-15,333,Blocked
63,56,4304801148766021,Visa,13249,2026-08-12,918,Active
64,81,378739160172471,Discover,1784,2029-04-21,216,Blocked
65,59,4431055183127567,Discover,9096,2026-04-19,699,Active
66,2,4853819989477792,Amex,8560,2027-04-23,891,Active
67,2,4017710622175757,Visa,13533,2026-06-03,140,Active
68,92,3584448002692431,Discover,8343,2027-02-17,210,Active
69,54,6011533138198134,Discover,8206,2025-12-26,380,Active
70,87,180054953287595,MasterCard,6801,2027-09-26,755,Active
71,96,4040425835997225,Discover,17921,2029-04-05,231,Active
72,97,3575187172140299,Discover,6986,2027-04-27,164,Active
73,1,213107687907457,MasterCard,19225,2026-06-23,873,Active
74,19,343174427070387,Amex,11647,2029-05-05,188,Active
75,2,6505709511874904,Discover,9716,2029-10-27,703,Active
76,53,4152753711482222391,MasterCard,13323,2025-04-24,850,Active
77,44,30306345284306,Visa,5780,2026-06-25,773,Active
78,90,060463066179,Amex,3368,2027-11-12,492,Active
79,32,348745010394352,Visa,13039,2025-06-17,668,Active
80,70,180093942986099,Visa,7655,2027-06-26,652,Active
81,32,180044232908459,MasterCard,9173,2028-10-01,725,Expired
82,68,576033951186,Discover,5495,2025-10-16,701,Active
83,55,4546164739763,MasterCard,11893,2026-10-30,764,Active
84,75,30598778426822,MasterCard,14403,2029-03-04,129,Expired
85,56,3551514455603941,MasterCard,14121,2025-07-05,984,Active
86,17,4550893339964672,MasterCard,11966,2026-03-08,986,Active
87,38,371109813024239,Amex,1853,2029-04-22,108,Active
88,24,4975380354924234,Discover,17958,2026-12-25,679,Active
89,69,38723313516158,Visa,18532,2027-08-10,688,Active
90,98,060443850684,Visa,10907,2027-11-29,869,Active
91,70,4675319093990356,Discover,5777,2028-09-05,110,Active
92,86,30383853212029,Visa,16338,2025-06-24,924,Active
93,11,4680238061743119134,Discover,3491,2028-10-09,748,Blocked
94,16,4569395569985749,Visa,16328,2025-07-10,412,Active
95,97,6580188044962924,MasterCard,15599,2029-07-17,446,Active
96,73,4050387935826281,Visa,4051,2028-08-29,245,Active
97,59,4938077676980342,Discover,16979,2026-07-15,588,Active
98,70,6011426249903155,Discover,17388,2027-03-02,716,Active
99,80,060439511936,Discover,1876,2026-06-21,956,Active
100,93,676304627026,Discover,5142,2028-04-29,885,Active
